Frame;Hour;Susceptible;Infected;Removed;Vaccinated;dS;dI;dR;dV;
21;21;1409350;1;0;0;1409350;1;0;0;
1;1;1409350;1;0;0;0;0;0;0;
2;2;1409350;1;0;0;0;0;0;0;
3;3;1409350;1;0;0;0;0;0;0;
4;4;1409350;1;0;0;0;0;0;0;
5;5;1409350;1;0;0;0;0;0;0;
6;6;1409350;1;0;0;0;0;0;0;
7;7;1409350;1;0;0;0;0;0;0;
8;8;1409350;1;0;0;0;0;0;0;
9;9;1409350;1;0;0;0;0;0;0;
10;10;1409350;1;0;0;0;0;0;0;
11;11;1409350;1;0;0;0;0;0;0;
12;12;1409350;1;0;0;0;0;0;0;
13;13;1409350;1;0;0;0;0;0;0;
14;14;1409350;1;0;0;0;0;0;0;
15;15;1409350;1;0;0;0;0;0;0;
16;16;1409350;1;0;0;0;0;0;0;
17;17;1409350;1;0;0;0;0;0;0;
18;18;1409350;1;0;0;0;0;0;0;
19;19;1409350;1;0;0;0;0;0;0;
20;20;1409350;1;0;0;0;0;0;0;
21;21;1409350;1;0;0;0;0;0;0;
22;22;1409350;1;0;0;0;0;0;0;
23;23;1409350;1;0;0;0;0;0;0;
21;21;1409021;1;0;329;-329;0;0;329;
25;1;1409021;1;0;329;0;0;0;0;
26;2;1409021;1;0;329;0;0;0;0;
27;3;1409021;1;0;329;0;0;0;0;
28;4;1409021;1;0;329;0;0;0;0;
29;5;1409021;1;0;329;0;0;0;0;
30;6;1409021;1;0;329;0;0;0;0;
31;7;1409021;1;0;329;0;0;0;0;
32;8;1409021;1;0;329;0;0;0;0;
33;9;1409021;1;0;329;0;0;0;0;
34;10;1409021;1;0;329;0;0;0;0;
35;11;1409021;1;0;329;0;0;0;0;
36;12;1409021;1;0;329;0;0;0;0;
37;13;1409021;1;0;329;0;0;0;0;
38;14;1409021;1;0;329;0;0;0;0;
39;15;1409021;1;0;329;0;0;0;0;
40;16;1409021;1;0;329;0;0;0;0;
41;17;1409021;1;0;329;0;0;0;0;
42;18;1409021;1;0;329;0;0;0;0;
43;19;1409021;1;0;329;0;0;0;0;
44;20;1409021;1;0;329;0;0;0;0;
45;21;1409021;1;0;329;0;0;0;0;
46;22;1409021;1;0;329;0;0;0;0;
47;23;1409021;1;0;329;0;0;0;0;
21;21;1403355;1;0;5995;-5666;0;0;5666;
49;1;1403355;1;0;5995;0;0;0;0;
50;2;1403355;1;0;5995;0;0;0;0;
51;3;1403355;1;0;5995;0;0;0;0;
52;4;1403355;1;0;5995;0;0;0;0;
53;5;1403355;1;0;5995;0;0;0;0;
54;6;1403355;1;0;5995;0;0;0;0;
55;7;1403355;1;0;5995;0;0;0;0;
56;8;1403355;1;0;5995;0;0;0;0;
57;9;1403355;1;0;5995;0;0;0;0;
58;10;1403355;1;0;5995;0;0;0;0;
59;11;1403355;1;0;5995;0;0;0;0;
60;12;1403355;1;0;5995;0;0;0;0;
61;13;1403355;1;0;5995;0;0;0;0;
